code_commune,annee,trimestre,prix_m2_median,surface_median,nb_transactions,type_bien_mode,inflation,lon_commune,lat_commune,dist_gare_km,gares_1km,gares_2km
75112,2023.0,3.0,9523.076923076924,40.0,200,appartement,5.5,,,,,
75112,2023.0,4.0,9243.589743589744,42.0,151,appartement,4.166666666666667,,,,,
75112,2024.0,1.0,9076.923076923076,39.0,125,appartement,3.0,,,,,
75112,2024.0,2.0,8740.671641791045,40.0,186,appartement,2.5,,,,,
75112,2024.0,3.0,8735.465116279069,43.0,134,appartement,2.1,,,,,
75112,2024.0,4.0,8648.936170212766,45.0,173,appartement,1.7,,,,,
75112,2025.0,1.0,8606.616310160427,39.5,24,appartement,1.2,,,,,
75112,2025.0,2.0,8704.545454545454,49.0,67,appartement,0.7999999999999999,,,,,
75112,2025.0,3.0,8785.714285714286,35.0,43,appartement,0.8500000000000001,,,,,
75112,2025.0,4.0,8927.442528735632,40.5,74,appartement,,,,,,
75113,2020.0,1.0,9862.068965517241,42.0,79,appartement,1.3666666666666665,,,,,
75113,2020.0,2.0,10527.597402597403,40.0,70,appartement,0.3333333333333333,,,,,
75113,2020.0,3.0,9900.0,40.0,79,appartement,0.3666666666666667,,,,,
75113,2020.0,4.0,10250.366379310344,40.0,64,appartement,0.10000000000000002,,,,,
75113,2021.0,1.0,9912.5,40.0,159,appartement,1.0,,,,,
75113,2021.0,2.0,9431.818181818182,44.0,155,appartement,1.7666666666666666,,,,,
75113,2021.0,3.0,9507.042253521127,41.0,165,appartement,2.1999999999999997,,,,,
75113,2021.0,4.0,9760.416666666666,44.0,151,appartement,3.3333333333333335,,,,,
75113,2022.0,1.0,9633.077485380118,42.0,176,appartement,4.2,,,,,
75113,2022.0,2.0,9489.583333333332,36.5,140,appartement,5.8999999999999995,,,,,
75113,2022.0,3.0,9660.138248847927,40.0,192,appartement,6.533333333333334,,,,,
75113,2022.0,4.0,9620.833333333334,41.0,181,appartement,6.966666666666666,,,,,
75113,2023.0,1.0,8863.636363636364,40.0,125,appartement,7.0,,,,,
75113,2023.0,2.0,9066.333333333332,40.0,148,appartement,6.066666666666666,,,,,
75113,2023.0,3.0,9275.210084033613,40.5,134,appartement,5.5,,,,,
75113,2023.0,4.0,9053.75,40.0,163,appartement,4.166666666666667,,,,,
75113,2024.0,1.0,8839.285714285714,42.0,107,appartement,3.0,,,,,
75113,2024.0,2.0,8541.380718954248,44.5,154,appartement,2.5,,,,,
75113,2024.0,3.0,8750.0,35.0,107,appartement,2.1,,,,,
75113,2024.0,4.0,8271.026785714286,38.0,172,appartement,1.7,,,,,
75113,2025.0,1.0,8486.842105263158,40.0,23,appartement,1.2,,,,,
75113,2025.0,2.0,8330.225988700566,38.0,46,appartement,0.7999999999999999,,,,,
75113,2025.0,3.0,8858.586830958799,39.0,48,appartement,0.8500000000000001,,,,,
75113,2025.0,4.0,8837.209302325582,34.0,49,appartement,,,,,,
75114,2020.0,1.0,10714.285714285714,42.0,82,appartement,1.3666666666666665,,,,,
75114,2020.0,2.0,11333.333333333334,45.0,63,appartement,0.3333333333333333,,,,,
75114,2020.0,3.0,10704.0,39.0,87,appartement,0.3666666666666667,,,,,
75114,2020.0,4.0,10500.0,35.0,101,appartement,0.10000000000000002,,,,,
75114,2021.0,1.0,10531.450577663672,43.0,176,appartement,1.0,,,,,
75114,2021.0,2.0,10404.081632653062,40.0,192,appartement,1.7666666666666666,,,,,
75114,2021.0,3.0,10875.0,41.0,211,appartement,2.1999999999999997,,,,,
75114,2021.0,4.0,10804.597701149425,39.0,163,appartement,3.3333333333333335,,,,,
75114,2022.0,1.0,10631.091283459162,48.5,152,appartement,4.2,,,,,
75114,2022.0,2.0,10392.857142857143,40.0,167,appartement,5.8999999999999995,,,,,
75114,2022.0,3.0,10400.0,44.0,207,appartement,6.533333333333334,,,,,
75114,2022.0,4.0,10548.844919786097,45.5,152,appartement,6.966666666666666,,,,,
75114,2023.0,1.0,7365.074074074075,40.5,232,appartement,7.0,,,,,
75114,2023.0,2.0,9687.272727272728,45.0,185,appartement,6.066666666666666,,,,,
75114,2023.0,3.0,9527.529761904761,36.0,150,appartement,5.5,,,,,
75114,2023.0,4.0,10174.03147699758,42.0,182,appartement,4.166666666666667,,,,,
75114,2024.0,1.0,9250.0,38.0,95,appartement,3.0,,,,,
75114,2024.0,2.0,9200.0,39.0,173,appartement,2.5,,,,,
